1.723,  5.421
3.226, -2.982
1.082,  2.714
3.696,  2.581
1.270, -2.606
4.395,  5.744
6.277, -8.438
2.288,  2.404
5.920, -0.023
4.081, -5.599
5.669, -2.214
6.610, -8.642
4.631, -3.389
4.504, -5.490
0.679,  3.930
9.790,  2.532
3.283, -1.755
2.310,  7.483
1.497,  1.516
0.835,  8.542
2.888,  1.351
2.767,  6.562
2.954,  2.293
0.110, -1.061
0.504,  3.821
2.062,  6.001
3.490, -0.713
4.049, -1.973
1.734,  4.032
1.882,  6.148
5.024, -5.426
2.536,  4.344
1.944,  5.443
4.011, -4.757
2.350, -0.080
5.093, -5.114
5.629, -6.463
5.357, -2.366
9.305, -7.466
3.340,  0.372
6.043,  1.065
2.020,  5.510
2.489,  4.005
4.081, -4.994 
0.416,  4.376
3.350,  1.609
0.625,  1.001
4.039, -4.667
1.569,  4.052
4.773, -2.264
8.173,  4.251
3.485, -2.093
4.071, -4.119
2.952,  1.813
8.024,  0.392 
3.847, -1.962
0.387, -1.520
3.506,  2.077
4.732, -6.234
2.413,  4.730
1.901,  7.180
3.692, -2.857
3.939, -2.503
3.097,  0.524
3.045,  3.197
7.608, -3.017
3.515, -3.313
3.899, -1.014
2.599, -1.664
3.550, -6.157
2.959,  1.481
4.218, -6.174
8.812,  9.752
2.821,  5.534
9.456, -9.666
0.411,  2.843
1.031,  1.698
7.248,  2.965
7.167, -2.603
5.085, -5.022
